Country,Stadium,Players,Mat,Runs,HS,Bat Av,100,Wkts,Bowl Av,Ct,St
AUS,Adelaide Oval,MS Dhoni,4,175,58,175,0,0,0,6,1
AUS,Adelaide Oval,RA Jadeja,4,18,12,6,0,2,106.5,2,0
AUS,Adelaide Oval,V Kohli,4,244,107,61,2,0,0,4,0
AUS,Adelaide Oval,RG Sharma,4,106,43,26.5,0,0,0,0,0
AUS,Adelaide Oval,R Ashwin,3,16,14,16,0,3,39.33,0,0
AUS,Adelaide Oval,SK Raina,3,120,74,40,0,0,0,2,0
AUS,Adelaide Oval,UT Yadav,3,0,0,0,0,4,37.5,2,0
AUS,Adelaide Oval,S Dhawan,2,105,73,52.5,0,0,0,2,0
AUS,Adelaide Oval,G Gambhir,2,183,92,91.5,0,0,0,2,0
AUS,Adelaide Oval,Mohammed Shami,2,3,3,0,0,7,13.28,0,0
AUS,Adelaide Oval,R Vinay Kumar,2,1,1,1,0,5,20.8,1,0
AUS,Adelaide Oval,KD Karthik,1,25,25,0,0,0,0,1,0
AUS,Adelaide Oval,Z Khan,1,0,0,0,0,1,46,0,0
AUS,Adelaide Oval,Kuldeep Yadav,1,0,0,0,0,0,0,0,0
AUS,Adelaide Oval,B Kumar,1,0,0,0,0,4,11.25,0,0
AUS,Adelaide Oval,Mohammed Siraj,1,0,0,0,0,0,0,0,0
AUS,Adelaide Oval,IK Pathan,1,8,8,8,0,1,38,0,0
AUS,Adelaide Oval,AM Rahane,1,0,0,0,0,0,0,1,0
AUS,Adelaide Oval,AT Rayudu,1,24,24,24,0,0,0,0,0
AUS,Adelaide Oval,V Sehwag,1,20,20,20,0,0,0,1,0
AUS,Adelaide Oval,MM Sharma,1,0,0,0,0,2,17.5,0,0
AUS,Adelaide Oval,SR Tendulkar,1,15,15,15,0,0,0,0,0
AUS,Brisbane Cricket Ground,V Kohli,4,141,66,35.25,0,0,0,3,0
AUS,Brisbane Cricket Ground,UT Yadav,4,6,6,0,0,2,110,0,0
AUS,Brisbane Cricket Ground,MS Dhoni,3,101,56,33.66,0,0,0,0,0
AUS,Brisbane Cricket Ground,RA Jadeja,3,40,18,13.33,0,1,93,0,0
AUS,Brisbane Cricket Ground,SK Raina,3,61,32,20.33,0,1,61,2,0
AUS,Brisbane Cricket Ground,R Ashwin,2,6,5,3,0,2,55,0,0
AUS,Brisbane Cricket Ground,S Dhawan,2,7,6,3.5,0,0,0,0,0
AUS,Brisbane Cricket Ground,G Gambhir,2,34,29,17,0,0,0,0,0
AUS,Brisbane Cricket Ground,IK Pathan,2,66,47,33,0,5,23,1,0
AUS,Brisbane Cricket Ground,AM Rahane,2,122,89,61,0,0,0,1,0
AUS,Brisbane Cricket Ground,RG Sharma,2,124,124,62,1,1,17,1,0
AUS,Brisbane Cricket Ground,SR Tendulkar,2,25,22,12.5,0,0,0,2,0
AUS,Brisbane Cricket Ground,R Vinay Kumar,2,6,6,3,0,0,0,0,0
AUS,Brisbane Cricket Ground,STR Binny,1,44,44,44,0,1,34,0,0
AUS,Brisbane Cricket Ground,Z Khan,1,9,9,9,0,1,46,0,0
AUS,Brisbane Cricket Ground,B Kumar,1,5,5,5,0,0,0,0,0
AUS,Brisbane Cricket Ground,Mohammed Shami,1,1,1,1,0,0,0,0,0
AUS,Brisbane Cricket Ground,MK Pandey,1,6,6,6,0,0,0,0,0
AUS,Brisbane Cricket Ground,AR Patel,1,0,0,0,0,0,0,0,0
AUS,Brisbane Cricket Ground,PA Patel,1,4,4,4,0,0,0,1,0
AUS,Brisbane Cricket Ground,AT Rayudu,1,23,23,23,0,0,0,0,0
AUS,Brisbane Cricket Ground,V Sehwag,1,0,0,0,0,0,0,1,0
AUS,Brisbane Cricket Ground,I Sharma,1,0,0,0,0,1,60,0,0
AUS,Brisbane Cricket Ground,BB Sran,1,0,0,0,0,0,0,0,0
AUS,Melbourne Cricket Ground,MS Dhoni,6,182,87,36.4,0,0,0,8,2
AUS,Melbourne Cricket Ground,V Kohli,6,252,117,42,1,0,0,3,0
AUS,Melbourne Cricket Ground,RG Sharma,6,311,138,51.83,2,1,17,1,0
AUS,Melbourne Cricket Ground,S Dhawan,5,260,137,52,1,0,0,5,0
AUS,Melbourne Cricket Ground,RA Jadeja,5,50,23,25,0,5,44.4,0,0
AUS,Melbourne Cricket Ground,R Ashwin,4,27,14,27,0,4,43.25,3,0
AUS,Melbourne Cricket Ground,Mohammed Shami,4,6,4,0,0,7,22.57,3,0
AUS,Melbourne Cricket Ground,AM Rahane,4,160,79,40,0,0,0,1,0
AUS,Melbourne Cricket Ground,SK Raina,4,126,65,31.5,0,0,0,3,0
AUS,Melbourne Cricket Ground,UT Yadav,4,0,0,0,0,8,23.5,0,0
AUS,Melbourne Cricket Ground,B Kumar,2,0,0,0,0,3,24,2,0
AUS,Melbourne Cricket Ground,MM Sharma,2,0,0,0,0,3,22.33,0,0
AUS,Melbourne Cricket Ground,YS Chahal,1,0,0,0,0,6,7,1,0
AUS,Melbourne Cricket Ground,R Dhawan,1,3,3,0,0,0,0,0,0
AUS,Melbourne Cricket Ground,G Gambhir,1,5,5,5,0,0,0,0,0
AUS,Melbourne Cricket Ground,Gurkeerat Singh,1,8,8,8,0,0,0,0,0
AUS,Melbourne Cricket Ground,KM Jadhav,1,61,61,0,0,0,0,1,0
AUS,Melbourne Cricket Ground,KD Karthik,1,0,0,0,0,0,0,0,0
AUS,Melbourne Cricket Ground,P Kumar,1,15,15,15,0,0,0,0,0
AUS,Melbourne Cricket Ground,AR Patel,1,0,0,0,0,1,45,0,0
AUS,Melbourne Cricket Ground,V Shankar,1,0,0,0,0,0,0,1,0
AUS,Melbourne Cricket Ground,I Sharma,1,0,0,0,0,2,26.5,0,0
AUS,Melbourne Cricket Ground,R Sharma,1,1,1,1,0,1,44,1,0
AUS,Melbourne Cricket Ground,BB Sran,1,0,0,0,0,0,0,0,0
AUS,Melbourne Cricket Ground,SR Tendulkar,1,2,2,2,0,0,0,0,0
AUS,Melbourne Cricket Ground,R Vinay Kumar,1,12,12,0,0,3,7,0,0
AUS,Sydney Cricket Ground,RA Jadeja,7,81,25,16.2,0,2,162,3,0
AUS,Sydney Cricket Ground,V Kohli,7,146,89,24.33,0,0,0,3,0
AUS,Sydney Cricket Ground,S Dhawan,6,235,78,39.16,0,0,0,3,0
AUS,Sydney Cricket Ground,MS Dhoni,5,164,65,41,0,0,0,3,1
